yrbp,co2
63,315.7
63,317.45
63,317.51
63,317.24
63,315.86
63,314.93
63,313.2
63,312.43
63,313.33
63,314.67
62,315.58
62,316.48
62,316.65
62,317.72
62,318.29
62,318.15
62,316.54
62,314.8
62,313.84
62,313.33
62,314.81
62,315.58
61,316.43
61,316.98
61,317.58
61,319.03
61,320.04
61,319.59
61,318.18
61,315.9
61,314.17
61,313.83
61,315
61,316.19
60,316.89
60,317.7
60,318.54
60,319.48
60,320.58
60,319.77
60,318.57
60,316.79
60,314.99
60,315.31
60,316.1
60,317.01
59,317.94
59,318.55
59,319.68
59,320.57
59,321.02
59,320.62
59,319.61
59,317.4
59,316.25
59,315.42
59,316.69
59,317.7
58,318.74
58,319.07
58,319.86
58,321.38
58,322.25
58,321.48
58,319.74
58,317.77
58,316.21
58,315.99
58,317.07
58,318.35
57,319.57
57,320.01
57,320.74
57,321.84
57,322.26
57,321.89
57,320.44
57,318.69
57,316.7
57,316.87
57,317.68
57,318.71
56,319.44
56,320.44
56,320.89
56,322.14
56,322.17
56,321.87
56,321.21
56,318.87
56,317.81
56,317.3
56,318.87
56,319.42
55,320.62
55,321.6
55,322.39
55,323.7
55,324.08
55,323.75
55,322.38
55,320.36
55,318.64
55,318.1
55,319.78
55,321.03
54,322.33
54,322.5
54,323.04
54,324.42
54,325
54,324.09
54,322.54
54,320.92
54,319.25
54,319.39
54,320.73
54,321.96
53,322.57
53,323.15
53,323.89
53,325.02
53,325.57
53,325.36
53,324.14
53,322.11
53,320.33
53,320.25
53,321.32
53,322.89
52,324
52,324.42
52,325.63
52,326.66
52,327.38
52,326.71
52,325.88
52,323.66
52,322.38
52,321.78
52,322.86
52,324.12
51,325.06
51,325.98
51,326.93
51,328.13
51,328.08
51,327.67
51,326.34
51,324.69
51,323.1
51,323.06
51,324.01
51,325.13
50,326.17
50,326.68
50,327.17
50,327.79
50,328.93
50,328.57
50,327.36
50,325.43
50,323.36
50,323.56
50,324.8
50,326.01
49,326.77
49,327.63
49,327.75
49,329.72
49,330.07
49,329.09
49,328.04
49,326.32
49,324.84
49,325.2
49,326.5
49,327.55
48,328.55
48,329.56
48,330.3
48,331.5
48,332.48
48,332.07
48,330.87
48,329.31
48,327.51
48,327.18
48,328.16
48,328.64
47,329.35
47,330.71
47,331.48
47,332.65
47,333.19
47,332.2
47,331.07
47,329.15
47,327.33
47,327.28
47,328.31
47,329.58
46,330.73
46,331.46
46,331.94
46,333.11
46,333.95
46,333.42
46,331.97
46,329.95
46,328.5
46,328.36
46,329.38
46,330.62
45,331.56
45,332.74
45,333.36
45,334.74
45,334.72
45,333.98
45,333.08
45,330.68
45,328.96
45,328.72
45,330.16
45,331.62
44,332.68
44,333.17
44,334.96
44,336.14
44,336.93
44,336.17
44,334.88
44,332.56
44,331.29
44,331.28
44,332.46
44,333.6
43,334.94
43,335.26
43,336.66
43,337.69
43,338.02
43,338.01
43,336.5
43,334.42
43,332.36
43,332.45
43,333.76
43,334.91
42,336.14
42,336.69
42,338.27
42,338.82
42,339.24
42,339.26
42,337.54
42,335.72
42,333.98
42,334.24
42,335.32
42,336.81
41,337.9
41,338.34
41,340.07
41,340.93
41,341.45
41,341.36
41,339.45
41,337.67
41,336.25
41,336.14
41,337.3
41,338.29
40,339.29
40,340.55
40,341.63
40,342.6
40,343.04
40,342.54
40,340.82
40,338.48
40,336.95
40,337.05
40,338.58
40,339.91
39,340.93
39,341.76
39,342.78
39,343.96
39,344.77
39,343.88
39,342.42
39,340.24
39,338.38
39,338.41
39,339.44
39,340.78
38,341.57
38,342.78
38,343.37
38,345.4
38,346.14
38,345.76
38,344.32
38,342.5
38,340.46
38,340.53
38,341.79
38,343.2
37,344.21
37,344.92
37,345.68
37,347.14
37,347.78
37,347.16
37,345.79
37,343.74
37,341.59
37,341.86
37,343.31
37,345
36,345.48
36,346.41
36,347.91
36,348.66
36,349.28
36,348.65
36,346.9
36,345.26
36,343.47
36,343.35
36,344.73
36,346.12
35,346.78
35,347.48
35,348.25
35,349.86
35,350.52
35,349.98
35,346.17
35,345.48
35,344.82
35,346.22
35,347.48
34,348.73
34,348.92
34,349.81
34,351.4
34,352.15
34,351.59
34,350.21
34,348.2
34,346.66
34,346.72
34,348.08
34,349.28
33,350.51
33,351.7
33,352.5
33,353.67
33,354.35
33,353.88
33,352.8
33,350.49
33,348.97
33,349.37
33,350.42
33,351.62
32,353.07
32,353.43
32,354.08
32,355.72
32,355.95
32,355.44
32,354.05
32,351.84
32,350.09
32,350.33
32,351.55
32,352.91
31,353.86
31,355.1
31,355.75
31,356.38
31,357.38
31,356.39
31,354.89
31,353.07
31,351.38
31,351.69
31,353.14
31,354.41
30,354.93
30,355.82
30,357.33
30,358.77
30,359.23
30,358.23
30,356.3
30,353.97
30,352.34
30,352.43
30,353.89
30,355.21
29,356.34
29,357.21
29,357.97
29,359.22
29,359.71
29,359.43
29,357.15
29,354.98
29,353.01
29,353.41
29,354.42
29,355.68
28,357.1
28,357.42
28,358.59
28,359.39
